Expiry Date,Cyberstock_Code,Branch,Make,Model,Year,Colour,Kilometers,Price,Service History,Features,Type,Advert (if new),Real Stock Code (if used),MM Code,IMG_1,IMG_2,IMG_3
20/11/2008,CT000002,CT,OPEL,CORSA 1.6 OPC,2008,Black,2 500,206 995,Yes,Alloy Wheels Balance of Manufacturer Warranty Entry Level Model - Fuel Efficient Full Service History Radio and CD                        ,Used,,O12125,48010800,,,
20/11/2008,CT000003,CT,OPEL,CORSA UTILITY 1.4i CLUB,2008,Silver,13 500,109 995,Yes,Alloy Wheels Balance of Manufacturer Warranty Entry Level Model - Fuel Efficient Full Service History Radio and CD                        ,Used,,O12102,48021320,,,
20/11/2008,CT000004,CT,OPEL,MERIVA 1.4 ESSENTIA,2007,White,17 500,117 995,Yes,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Central Locking Cruise Control Full Service History Maintenance Plan Metallic Paint Power Steering Radio and CD                ,Used,,O12068,48013050,,,
20/11/2008,CT000005,CT,OPEL,MERIVA 1.6 ENJOY,2007,Silver,33 000,121 995,Yes,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty CD - Frontloader Central Locking Electric Windows Entry Level Model - Fuel Efficient Exterior features Full Service History Interior Features Interior Trim Power Steering Radio and CD Spotlights           ,Used,,O12031,48013090,,,
20/11/2008,CT000006,CT,OPEL,MERIVA 1.7 CDTi ENJOY,2007,Iron Heart,26 000,131 995,Yes,Balance of Manufacturer Warranty Entry Level Model - Fuel Efficient Power Steering                          ,Used,,O12079,48013280,,,
20/11/2008,CT000007,N1,Opel,Corsa Utility 1.4,2008,Star Silver III,0,92950,,ABS Airbags AirCon Anti Theft - Immobiliser Balance of Manufacturer Warranty CD - Frontloader Central Locking Electric Windows Exterior features Full Service History Interior Features Interior Trim Power Steering Radio and CD               ,New,N11919,,48021310,,,
20/11/2008,CT000008,TV,Opel,Corsa 1.4 ESSENTIA A/C 5DR,2008,Casablanca,0,139930,,Airbags AirCon Electric Windows                          ,New,N11950,,48010600,,,
20/11/2008,CI000001,ITC,Opel,Corsa 1.4 ESSENTIA A/C 5DR,2008,Star Silver,0,139930,,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty CD - Frontloader Central Locking Electric Windows Exterior features Full Service History Interior Features Interior Trim Metallic Paint Power Steering Radio and CD Special Paint Spotlights          ,New,N11955,,48010600,,,
20/11/2008,CI000002,ITC,Chevrolet,Aveo 1.6 LS 5DR HATCH,2008,PolySilver,0,126680,,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty Body Bullbar Cab Slider Canopy CD - Frontloader Central Locking Diff Lock Electric Windows Exterior features Full Service History Interior Features Interior Trim Maintenance Plan Metallic Paint Power Steering Radio and CD Roll Bar Sliding Rear Window Special Paint Spotlights Towbar Workhorse,New,N12034,,10030282,,,
20/11/2008,CI000003,ITC,Opel,Corsa Utility 1.4,2008,Star Silver III,0,93550,,CD - Frontloader                            ,New,N12042,,48021310,,,
20/11/2008,CI000004,N1,Opel,Corsa LITE,2008,Vortex Black,0,81620,,Airbags Canopy Polyurathane Lining Power Steering                         ,New,N12046,,48041102,,,
20/11/2008,CI000005,CT,Opel,Corsa LITE,2008,Maranello Red,0,84620,,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty Central Locking Electric Windows Full Service History Maintenance Plan Metallic Paint Power Steering Radio and CD Towbar              ,New,N12065,,48041102,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
